Pregunta,Respuesta
¿Que empresa hace el envio?,CorreosChile o Turbus.
¿Cuanto se demoran en enviar?,"Es posible hacer el envio durante el dia, o para el dia siguiente."
¿Hacen envios internacionales?,No.
¿Cuanto cuesta el envio?,El costo de envio corre por parte del comprador ve a Turbus para ver los precios.
¿Cuanto cuesta enviar?,El costo de envio corre por parte del comprador ve a Turbus para ver los precios.
¿Cual es el costo de envio?,El costo de envio corre por parte del comprador ve a Turbus para ver los precios.
¿Cuanto es el costo de envio?,El costo de envio corre por parte del comprador ve a Turbus para ver los precios.
¿Cual es el precio del envio?,El costo de envio corre por parte del comprador ve a Turbus para ver los precios
¿Cuanto es el precio del envio?,El costo de envio corre por parte del comprador ve a Turbus para ver los precios
¿Que cargos de envio hay?,El costo de envio corre por parte del comprador ve a Turbus para ver los precios
¿Garantizan un envio y pedido exitoso?,"Si, nuestra politica como organizacion es la de garantizar el envio exitoso de todos nuestros pedidos, sin importar el metodo de envio elegido. Todos los envios estan garantizados o se le devolvera su dinero."
¿Que metodos de envio tienen?,"En el momento de poner su pedido, podra elegir el metodo de envio. Si usted desea otras opciones distintas a las que ofrecemos durante este proceso, favor de contactarnos directamente antes de finalizar la transaccion."
¿Cuales metodos de envio tienen?,"En el momento de poner su pedido, podra elegir el metodo de envio. Si usted desea otras opciones distintas a las que ofrecemos durante este proceso, favor de contactarnos directamente antes de finalizar la transaccion."
¿Cuales son los metodos de envio?,"En el momento de poner su pedido, podra elegir el metodo de envio. Si usted desea otras opciones distintas a las que ofrecemos durante este proceso, favor de contactarnos directamente antes de finalizar la transaccion."
¿Que tan rapido envian mi pedido?,Hacemos el envio de inmediato; tipicamente el mismo dia o al siguiente dia laboral de cuando se puso el pedido.
¿De donde envian los productos?,Todos los productos son enviados desde la quinta region.
¿Los envios tienen costo extra?,"Los envios al interior del pais tiene costo adicional, ver tabla de costos en tur-bus."
Envios a Arica,"Si, es posible realizar Envios a a distintas localidades."
Envios a Antofagasta,"Si, es posible realizar Envios a a distintas localidades."
Envios a Calama,"Si, es posible realizar Envios a a distintas localidades."
Envios a Tocopilla,"Si, es posible realizar Envios a a distintas localidades."
Envios a Taltal,"Si, es posible realizar Envios a a distintas localidades."
Envios a Mejillones,"Si, es posible realizar Envios a a distintas localidades."
Envios a Maria Elena,"Si, es posible realizar Envios a a distintas localidades."
Envios a Copiapo,"Si, es posible realizar Envios a a distintas localidades."
Envios a Caldera,"Si, es posible realizar Envios a a distintas localidades."
Envios a Tierra Amarilla,"Si, es posible realizar Envios a a distintas localidades."
Envios a Chañaral,"Si, es posible realizar Envios a a distintas localidades."
Envios a Diego de Almagro,"Si, es posible realizar Envios a a distintas localidades."
Envios a El Salvador,"Si, es posible realizar Envios a a distintas localidades."
Envios a Vallenar,"Si, es posible realizar Envios a a distintas localidades."
Envios a Huasco,"Si, es posible realizar Envios a a distintas localidades."
Envios a Gran La Serena (La Serena y Coquimbo),"Si, es posible realizar Envios a a distintas localidades."
Envios a Andacollo,"Si, es posible realizar Envios a a distintas localidades."
Envios a Vicuña,"Si, es posible realizar Envios a a distintas localidades."
Envios a Illapel,"Si, es posible realizar Envios a a distintas localidades."
Envios a Los Vilos,"Si, es posible realizar Envios a a distintas localidades."
Envios a Salamanca,"Si, es posible realizar Envios a a distintas localidades."
Envios a Ovalle,"Si, es posible realizar Envios a a distintas localidades."
Envios a Combarbala,"Si, es posible realizar Envios a a distintas localidades."
Envios a Monte Patria,"Si, es posible realizar Envios a a distintas localidades."
Envios a El Palqui,"Si, es posible realizar Envios a a distintas localidades."
Envios a Valparaiso,"Si, es posible realizar Envios a a distintas localidades."
Envios a Concon,"Si, es posible realizar Envios a a distintas localidades."
Envios a Viña del Mar,"Si, es posible realizar Envios a a distintas localidades."
Envios a Villa Alemana,"Si, es posible realizar Envios a a distintas localidades."
Envios a Quilpue,"Si, es posible realizar Envios a a distintas localidades."
Envios a San Antonio,"Si, es posible realizar Envios a a distintas localidades."
Envios a Quillota,"Si, es posible realizar Envios a a distintas localidades."
Envios a Hijuelas,"Si, es posible realizar Envios a a distintas localidades."
Envios a La Calera ,"Si, es posible realizar Envios a a distintas localidades."
Envios a La Cruz,"Si, es posible realizar Envios a a distintas localidades."
Envios a San Felipe.,"Si, es posible realizar Envios a a distintas localidades."
Envios a Casablanca.,"Si, es posible realizar Envios a a distintas localidades."
Envios a Las Ventanas.,"Si, es posible realizar Envios a a distintas localidades."
Envios a Quintero.,"Si, es posible realizar Envios a a distintas localidades."
Envios a Los Andes.,"Si, es posible realizar Envios a a distintas localidades."
Envios a Calle Larga.,"Si, es posible realizar Envios a a distintas localidades."
Envios a Rinconada.,"Si, es posible realizar Envios a a distintas localidades."
Envios a San Esteban.,"Si, es posible realizar Envios a a distintas localidades."
Envios a La Ligua.,"Si, es posible realizar Envios a a distintas localidades."
Envios a Cabildo.,"Si, es posible realizar Envios a a distintas localidades."
Envios a Limache.,"Si, es posible realizar Envios a a distintas localidades."
Envios a Nogales.,"Si, es posible realizar Envios a a distintas localidades."
Envios a El Melon.,"Si, es posible realizar Envios a a distintas localidades."
Envios a Olmue.,"Si, es posible realizar Envios a a distintas localidades."
Envios a Algarrobo.,"Si, es posible realizar Envios a a distintas localidades."
Envios a El Quisco.,"Si, es posible realizar Envios a a distintas localidades."
Envios a El Tabo.,"Si, es posible realizar Envios a a distintas localidades."
Envios a Catemu.,"Si, es posible realizar Envios a a distintas localidades."
Envios a Llaillay.,"Si, es posible realizar Envios a a distintas localidades."
Envios a Putaendo.,"Si, es posible realizar Envios a a distintas localidades."
Envios a Villa Los Almendros.,"Si, es posible realizar Envios a a distintas localidades."
Envios a Santa Maria.,"Si, es posible realizar Envios a a distintas localidades."
Envios a Rancagua,"Si, es posible realizar Envios a a distintas localidades."
Envios a Machali ,"Si, es posible realizar Envios a a distintas localidades."
Envios a Gultro,"Si, es posible realizar Envios a a distintas localidades."
Envios a Codegua,"Si, es posible realizar Envios a a distintas localidades."
Envios a Doñihue,"Si, es posible realizar Envios a a distintas localidades."
Envios a Lo Miranda,"Si, es posible realizar Envios a a distintas localidades."
Envios a Graneros,"Si, es posible realizar Envios a a distintas localidades."
Envios a Las Cabras,"Si, es posible realizar Envios a a distintas localidades."
Envios a San Francisco de Mostazal,"Si, es posible realizar Envios a a distintas localidades."
Envios a Peumo,"Si, es posible realizar Envios a a distintas localidades."
Envios a Punta Diamante,"Si, es posible realizar Envios a a distintas localidades."
Envios a Quinta de Tilcoco,"Si, es posible realizar Envios a a distintas localidades."
Envios a Rengo,"Si, es posible realizar Envios a a distintas localidades."
Envios a Requinoa,"Si, es posible realizar Envios a a distintas localidades."
Envios a San Vicente de Tagua Tagua,"Si, es posible realizar Envios a a distintas localidades."
Envios a Pichilemu,"Si, es posible realizar Envios a a distintas localidades."
Envios a San Fernando,"Si, es posible realizar Envios a a distintas localidades."
Envios a Chimbarongo,"Si, es posible realizar Envios a a distintas localidades."
Envios a Nancagua,"Si, es posible realizar Envios a a distintas localidades."
Envios a Palmilla,"Si, es posible realizar Envios a a distintas localidades."
Envios a Santa Cruz,"Si, es posible realizar Envios a a distintas localidades."
Envios a Region del Maule[editar],"Si, es posible realizar Envios a a distintas localidades."
Envios a Talca,"Si, es posible realizar Envios a a distintas localidades."
Envios a Curico,"Si, es posible realizar Envios a a distintas localidades."
Envios a Linares,"Si, es posible realizar Envios a a distintas localidades."
Envios a Constitucion,"Si, es posible realizar Envios a a distintas localidades."
Envios a San Clemente,"Si, es posible realizar Envios a a distintas localidades."
Envios a Cauquenes,"Si, es posible realizar Envios a a distintas localidades."
Envios a Hualañe,"Si, es posible realizar Envios a a distintas localidades."
Envios a Molina,"Si, es posible realizar Envios a a distintas localidades."
Envios a Teno,"Si, es posible realizar Envios a a distintas localidades."
Envios a Longavi,"Si, es posible realizar Envios a a distintas localidades."
Envios a Parral,"Si, es posible realizar Envios a a distintas localidades."
Envios a San Javier,"Si, es posible realizar Envios a a distintas localidades."
Envios a Villa Alegre,"Si, es posible realizar Envios a a distintas localidades."
Envios a Region del Biobio,"Si, es posible realizar Envios a a distintas localidades."
Envios a Gran Concepcion,"Si, es posible realizar Envios a a distintas localidades."
Envios a Talcahuano,"Si, es posible realizar Envios a a distintas localidades."
Envios a Chiguayante,"Si, es posible realizar Envios a a distintas localidades."
Envios a Coronel,"Si, es posible realizar Envios a a distintas localidades."
Envios a Hualqui,"Si, es posible realizar Envios a a distintas localidades."
Envios a Lota,"Si, es posible realizar Envios a a distintas localidades."
Envios a Penco,"Si, es posible realizar Envios a a distintas localidades."
Envios a Tome,"Si, es posible realizar Envios a a distintas localidades."
Envios a Hualpen,"Si, es posible realizar Envios a a distintas localidades."
Envios a Chillan ,"Si, es posible realizar Envios a a distintas localidades."
Envios a Chillan Viejo,"Si, es posible realizar Envios a a distintas localidades."
Envios a Los angeles,"Si, es posible realizar Envios a a distintas localidades."
Envios a Santa Juana,"Si, es posible realizar Envios a a distintas localidades."
Envios a Lebu,"Si, es posible realizar Envios a a distintas localidades."
Envios a Arauco,"Si, es posible realizar Envios a a distintas localidades."
Envios a Cañete,"Si, es posible realizar Envios a a distintas localidades."
Envios a Curanilahue,"Si, es posible realizar Envios a a distintas localidades."
Envios a Los alamos,"Si, es posible realizar Envios a a distintas localidades."
Envios a Cabrero,"Si, es posible realizar Envios a a distintas localidades."
Envios a Monte aguila,"Si, es posible realizar Envios a a distintas localidades."
Envios a Mulchen,"Si, es posible realizar Envios a a distintas localidades."
Envios a Nacimiento,"Si, es posible realizar Envios a a distintas localidades."
Envios a Santa Barbara,"Si, es posible realizar Envios a a distintas localidades."
Envios a Huepil,"Si, es posible realizar Envios a a distintas localidades."
Envios a Yumbel,"Si, es posible realizar Envios a a distintas localidades."
Envios a Bulnes,"Si, es posible realizar Envios a a distintas localidades."
Envios a Coelemu,"Si, es posible realizar Envios a a distintas localidades."
Envios a Coihueco,"Si, es posible realizar Envios a a distintas localidades."
Envios a Quillon,"Si, es posible realizar Envios a a distintas localidades."
Envios a Quirihue,"Si, es posible realizar Envios a a distintas localidades."
Envios a San Carlos,"Si, es posible realizar Envios a a distintas localidades."
Envios a Temuco ,"Si, es posible realizar Envios a a distintas localidades."
Envios a Padre Las Casas,"Si, es posible realizar Envios a a distintas localidades."
Envios a Labranza,"Si, es posible realizar Envios a a distintas localidades."
Envios a Carahue,"Si, es posible realizar Envios a a distintas localidades."
Envios a Cunco,"Si, es posible realizar Envios a a distintas localidades."
Envios a Freire,"Si, es posible realizar Envios a a distintas localidades."
Envios a Gorbea,"Si, es posible realizar Envios a a distintas localidades."
Envios a Lautaro,"Si, es posible realizar Envios a a distintas localidades."
Envios a Loncoche,"Si, es posible realizar Envios a a distintas localidades."
Envios a Nueva Imperia,"Si, es posible realizar Envios a a distintas localidades."
Envios a Pitrufquen,"Si, es posible realizar Envios a a distintas localidades."
Envios a Pucon,"Si, es posible realizar Envios a a distintas localidades."
Envios a Villarrica,"Si, es posible realizar Envios a a distintas localidades."
Envios a Angol,"Si, es posible realizar Envios a a distintas localidades."
Envios a Collipulli,"Si, es posible realizar Envios a a distintas localidades."
Envios a Curacautin,"Si, es posible realizar Envios a a distintas localidades."
Envios a Puren,"Si, es posible realizar Envios a a distintas localidades."
Envios a Renaico,"Si, es posible realizar Envios a a distintas localidades."
Envios a Traiguen,"Si, es posible realizar Envios a a distintas localidades."
Envios a Victoria,"Si, es posible realizar Envios a a distintas localidades."
Envios a Valdivia,"Si, es posible realizar Envios a a distintas localidades."
Envios a Futrono,"Si, es posible realizar Envios a a distintas localidades."
Envios a La Union,"Si, es posible realizar Envios a a distintas localidades."
Envios a Lanco,"Si, es posible realizar Envios a a distintas localidades."
Envios a Los Lagos,"Si, es posible realizar Envios a a distintas localidades."
Envios a San Jose de la Mariquina,"Si, es posible realizar Envios a a distintas localidades."
Envios a Paillaco,"Si, es posible realizar Envios a a distintas localidades."
Envios a Panguipulli,"Si, es posible realizar Envios a a distintas localidades."
Envios a Rio Bueno,"Si, es posible realizar Envios a a distintas localidades."
Envios a Puerto Montt ,"Si, es posible realizar Envios a a distintas localidades."
Envios a Puerto Varas,"Si, es posible realizar Envios a a distintas localidades."
Envios a Calbuco,"Si, es posible realizar Envios a a distintas localidades."
Envios a Fresia,"Si, es posible realizar Envios a a distintas localidades."
Envios a Frutillar,"Si, es posible realizar Envios a a distintas localidades."
Envios a Los Muermos,"Si, es posible realizar Envios a a distintas localidades."
Envios a Llanquihue,"Si, es posible realizar Envios a a distintas localidades."
Envios a Castro,"Si, es posible realizar Envios a a distintas localidades."
Envios a Ancud,"Si, es posible realizar Envios a a distintas localidades."
Envios a Quellon,"Si, es posible realizar Envios a a distintas localidades."
Envios a Osorno,"Si, es posible realizar Envios a a distintas localidades."
Envios a Purranque,"Si, es posible realizar Envios a a distintas localidades."
Envios a Rio Negro,"Si, es posible realizar Envios a a distintas localidades."
Envios a Coyhaique.,"Si, es posible realizar Envios a a distintas localidades."
Envios a Puerto Aysen,"Si, es posible realizar Envios a a distintas localidades."
Envios a Punta Arenas,"Si, es posible realizar Envios a a distintas localidades."
Envios a Puerto Natales,"Si, es posible realizar Envios a a distintas localidades."
Envios a Santiago,"Si, es posible realizar Envios a a distintas localidades."
Envios a Cerrillos,"Si, es posible realizar Envios a a distintas localidades."
Envios a Cerro Navia,"Si, es posible realizar Envios a a distintas localidades."
Envios a Conchali,"Si, es posible realizar Envios a a distintas localidades."
Envios a El Bosque,"Si, es posible realizar Envios a a distintas localidades."
Envios a Estacion Central,"Si, es posible realizar Envios a a distintas localidades."
Envios a Huechuraba,"Si, es posible realizar Envios a a distintas localidades."
Envios a Independencia,"Si, es posible realizar Envios a a distintas localidades."
Envios a La Cisterna,"Si, es posible realizar Envios a a distintas localidades."
Envios a La Florida,"Si, es posible realizar Envios a a distintas localidades."
Envios a La Granja,"Si, es posible realizar Envios a a distintas localidades."
Envios a La Pintana,"Si, es posible realizar Envios a a distintas localidades."
Envios a La Reina,"Si, es posible realizar Envios a a distintas localidades."
Envios a Las Condes,"Si, es posible realizar Envios a a distintas localidades."
Envios a Lo Barnechea,"Si, es posible realizar Envios a a distintas localidades."
Envios a Lo Espejo,"Si, es posible realizar Envios a a distintas localidades."
Envios a Lo Prado,"Si, es posible realizar Envios a a distintas localidades."
Envios a Macul,"Si, es posible realizar Envios a a distintas localidades."
Envios a Maipu,"Si, es posible realizar Envios a a distintas localidades."
Envios a Ñuñoa,"Si, es posible realizar Envios a a distintas localidades."
Envios a Pedro Aguirre Cerda,"Si, es posible realizar Envios a a distintas localidades."
Envios a Peñalolen,"Si, es posible realizar Envios a a distintas localidades."
Envios a Providencia,"Si, es posible realizar Envios a a distintas localidades."
Envios a Pudahuel,"Si, es posible realizar Envios a a distintas localidades."
Envios a Quilicura,"Si, es posible realizar Envios a a distintas localidades."
Envios a Quinta Normal,"Si, es posible realizar Envios a a distintas localidades."
Envios a Recoleta,"Si, es posible realizar Envios a a distintas localidades."
Envios a Renca,"Si, es posible realizar Envios a a distintas localidades."
Envios a San Joaquin,"Si, es posible realizar Envios a a distintas localidades."
Envios a San Miguel,"Si, es posible realizar Envios a a distintas localidades."
Envios a San Ramon,"Si, es posible realizar Envios a a distintas localidades."
Envios a Vitacura,"Si, es posible realizar Envios a a distintas localidades."
Envios a Puente Alto,"Si, es posible realizar Envios a a distintas localidades."
Envios a San Bernardo,"Si, es posible realizar Envios a a distintas localidades."
Envios a Padre Hurtado,"Si, es posible realizar Envios a a distintas localidades."
Envios a Pirque,"Si, es posible realizar Envios a a distintas localidades."
Envios a San Jose de Maipo,"Si, es posible realizar Envios a a distintas localidades."
Envios a Colina,"Si, es posible realizar Envios a a distintas localidades."
Envios a Lampa,"Si, es posible realizar Envios a a distintas localidades."
Envios a Batuco,"Si, es posible realizar Envios a a distintas localidades."
Envios a Tiltil,"Si, es posible realizar Envios a a distintas localidades."
Envios a Buin,"Si, es posible realizar Envios a a distintas localidades."
Envios a Alto Jahuel,"Si, es posible realizar Envios a a distintas localidades."
Envios a Bajos de San Agustin,"Si, es posible realizar Envios a a distintas localidades."
Envios a Paine,"Si, es posible realizar Envios a a distintas localidades."
Envios a Hospital,"Si, es posible realizar Envios a a distintas localidades."
Envios a Melipilla,"Si, es posible realizar Envios a a distintas localidades."
Envios a Curacavi,"Si, es posible realizar Envios a a distintas localidades."
Envios a Talagante,"Si, es posible realizar Envios a a distintas localidades."
Envios a El Monte,"Si, es posible realizar Envios a a distintas localidades."
Envios a Isla de Maipo,"Si, es posible realizar Envios a a distintas localidades."
Envios a La Islita,"Si, es posible realizar Envios a a distintas localidades."
Envios a Peñaflor,"Si, es posible realizar Envios a a distintas localidades."
¿Que formas de pago ofrecen?,"Actualmente aceptamos las principales tarjetas de credito como American Express, Visa, Mastercard, Diners y Discover. "
¿Como puedo pagar mis compras?,"Puedes elegir entre varios metodos de pago: Transferencia bancaria, paypal, y deposito."
¿Que metodos de pago se pueden utilizar?,"Despito Bancario, transferencia o efectivo."
¿Que metodos de pago tienen?,"Despito Bancario, transferencia o efectivo."
¿Puedo pedir factura boleta?,"Si, es posible pedir factura o boleta."
¿Que tarjetas de credito aceptan?,"Se aceptan las siguientes tarjetas de credito: Visa, Master, Amex, Diners, Oca, Cabal, Creditos Directos."
¿Con cuanto tiempo debo hacer el pedido?,A lo menos con 2 dias de anticipacion.
¿Que moneda se utiliza para facturar mi pedido?,Todos los precios son cotizados en pesos chilenos. 
¿Que metodos de pago aceptan?,"Los metodos mas rapidos y eficientes para hacer su pedido es por internet utilizando su tarjeta de credito o llamando al numero gratuito. Aceptamos pagos hechos con Visa, Mastercard, American Express, Discover, PayPal y tambien podemos procesar pedidos manualmente por medio de transferencias monetarias de Western Union."
¿Que son los pagos Paypal?,"Para aquellas personas que no pueden o no desean pagar directamente con una tarjeta de credito, paypal es una alternativa popular de procesamiento seguro de pagos en linea (vea www.paypal.com) la cual permite a los usuarios enviar pagos utilizando diversos metodos, incluyendo cuentas corrientes u otras cuentas bancarias, varias tarjetas de credito y otras opciones. Cuando tiene una cuenta de paypal, usted puede ordenar nuestros productos en linea simplemente eligiendo esta opcion de pago."
¿Como realizo un pedido si no tengo una tarjeta de credito?,"Ademas de tarjetas de credito, aceptamos otros metodos de pago: Paypal (cuenta en linea o cheques electronicos), o transferencias por medio de Western Union. Para solicitar alguno de los ultimos dos servicios, contactenos directamente. Haremos todo lo posible para asegurar lograr una solucion factible para todas las mujeres que tienen necesidad."
¿Es su sitio seguro?,"Si, para su tranquilidad utilizamos los mejores metodos de seguridad disponibles. VeriSign es un lider reconocido en el campo de la seguridad del comercio por internet y brinda el cifrado y seguridad de nuestra entera tienda en linea. Hasta la fecha, despues de muchos años de ofrecer productos en linea para el vaginismo, no hemos tenido ningun incidente o problema de seguridad con alguna transaccion hecha en linea."
¿Hay cargos adicionales al completar la orden?,Adicional al costo del arreglo hay un pequeño cargo de envio el cual varia dependiendo de la ciudad destino y podra ver antes de completar su orden.
¿Hay cargos adicionales por impuestos?,Las compras que realice son libres de impuestos.
¿Puedo regresar las flores y recibir un reembolso?,"No, no podemos aceptar devoluciones. "
¿Cual es la politica de devolucion?,No hay devoluciones.
¿Ustedes garantizan los precios mas bajos?,"Si, garantizamos que nuestros precios para nuestros productos son los mas bajos que estan disponibles a nivel nacional."
¿Hay cargos adicionales?,"El cliente es responsable de los cargos por envio que aplique. Sin embargo, en la mayoria de los casos, estos cargos son minimos."
¿Hay que pagar impuestos?,"El cliente es responsable de los cargos por envio que aplique. Sin embargo, en la mayoria de los casos, estos cargos son minimos."
¿Como cambio o devuelvo las flores?,Tienes hasta 30 dias desde la recepcion de tu pedido para cambiar tu articulo o solicitar su devolucion.
¿Donde esta mi pedido?,"Si has seleccionado el envio a domicilio, podras consultar en cualquier momento el estado de tu pedido en el sitio de correos."
¿Puedo cancelar o modificar mi pedido?,"Actualmente, no es posible cancelar o modificar tu pedido ya que preparamos tu compra en cuanto nos confirmas el pedido en la web."
No he recibido todos los articulos de mi compra. ¿Que hago?,"Revisa tu email para comprobar si te hemos enviado un correo electronico informandote de que uno de los articulos incluidos en tu pedido ya no esta disponible. En este caso, te reembolsaremos el importe correspondiente a dicho articulo y los gastos de envio de tu pedido en el mismo metodo de pago utilizado en la compra."
Los articulos recibidos son incorrectos o tienen un defecto. ¿Que hago?,"Si has recibido un articulo con algun defecto o diferente al comprado, efectuaremos el reembolso de dichos articulos y de los gastos de envio tan pronto como los recibamos en nuestros almacenes y verifiquemos el estado de las prendas."
¿Que opciones ofrecen de flores?,"Puede comprar tres tipos de flores en distintas variedades de colores. Lilium, Gerbera y gladiolos."
¿Donde puedo encontrar informacion sobre sus productos?,"Toda la informacion sobre el precio de nuestros productos esta en la seccion de Productos. Si desea obtener un presupuesto para compras, escribanos en contacto o llamenos."
¿Me gustaria tener mas informacion sobre sus productos?,"Toda la informacion sobre el precio de nuestros productos esta en la seccion de Productos. Si desea obtener un presupuesto para compras, escribanos en contacto o llamenos."
¿Me gustaria saber mas sobre sus productos?,"Toda la informacion sobre el precio de nuestros productos esta en la seccion de Productos. Si desea obtener un presupuesto para compras, escribanos en contacto o llamenos."
¿Cuanto tiempo duran las flores?,"La flores tienen un tiempo de vida de aproximadamente dos semanas, si las desea mas jovenes por favor indiquelo en el pedido."
¿Cuando marchitan las flores?,"La flores tienen un tiempo de vida de aproximadamente dos semanas, si las desea mas jovenes por favor indiquelo en el pedido."
¿Se pueden comprar arreglos florales?,"Arreglos florales pueden ser solicitados, pero tendran un costo adicional."
¿Hay un folleto de sus productos?,"No, solo la informacion contenida en este sitio"
¿Cuanto se demora en llegar mi pedido?,"Las ordenes se comienzan a trabajar en el dia habil siguiente del que tu haces el pedido. Posterior a eso, contamos con 5 dias habiles para procesar la orden. El despacho puede suceder dentro de estos cinco dias y al momento de hacerlo se te envia un correo con los datos del envio para que puedas hacer el seguimiento."
¿Como se cuando enviaran mi compra?,Al momento de despachar te enviaremos un mail con el numero de orden de transporte para que hagas el seguimiento en la pagina de Chilexpress.
¿Puedo retirar en tienda?,"No, las ventas por internet son solo con modalidad de despacho a domicilio o a una sucursal de Chilexpress de tu preferencia."
¿Puedo comprar en la empresa?,"No, las ventas por internet son solo con modalidad de despacho a domicilio o a una sucursal de Chilexpress de tu preferencia."
¿Puedo comprar desde el extranjero?,Por acuerdo con nuestros proveedores no despachamos fuera de Chile.
¿Que productos puedo comprar?,"Flores Lilium, Gerberas y gladiolos de distintos colores."
¿Como puedo comprar?,Para comprar por favor llamenos al telefono celular 09-98276460 o escribenos en el formulario de contacto.
¿Como funcionan los pedidos?,"Los pedidos se realizan por telefono, y tras el pago le seran enviados a su domicilio o region."
¿Como puedo pagar mi pedido?,"El pago se realiza mediante tarjeta bancaria o PayPal, una vez seleccionado el producto y cumplimentados los datos del cliente y el destinatario"
¿Me pueden garantizar la hora de entrega?,Se garantiza la entrega para el mismo dia en territorio nacional siempre que el pedido se realice antes de las 15:00 hora local y el dia de la entrega no sea Domingo ni festivo en la localidad de destino o festividad nacional.
¿Como llegan las flores a su destino?,"Los productos son confeccionados por expertos profesionales floristas, adecuando su estilo y diseño a cada ocasion. Son realizados minutos antes de la entrega por profesionales pertenecientes a la floristeria mas cercana a la direccion de destino, garantizando asi su frescura, cuidado y perfecto estado durante su traslado."
¿Como se si el pedido ha sido cobrado?,Al final del proceso de compra aparecera un mensaje con el numero de pedido que verifica que la transaccion ha sido aceptada.
¿Como puedo recibir informacion acerca de ofertas?,"Si te registras como cliente, tienes la opcion de suscribirte a nuestro boletin de informacion y ofertas especiales."
¿Puedo pedir confirmacion de entrega del pedido?,"Se confirmara la entrega de tu pedido si has proporcionado tu direccion de correo electronico a la hora de realizarlo. En cualquier caso, siempre puedes solicitarlo poniendote en contacto con nuestro departamento de atencion al cliente llamando al telefono indicando en el sitio y especificando el numero de pedido que realizaste y que te fue comunicado. "
¿Puedo cancelar un pedido una vez realizado el pago?,"Si, siempre y cuando a la hora de realizar la cancelacion el encargo no este ya entregado o en reparto. "
